ean;ubicación;articulo;color;talla;posiciontalla;descripcion producto;descripcion color;temporada;;no.orden;cliente;nombre cliente;cantidad;servida;operario;status;fecha;hora;caja
8445962728319;16-044;2521JA43;000014;M;2;Cazadora;KAKI / KHAKI;I26;;1111087088;00000041;K41 - SANTANDER;1;1;000052;S;20251215;14:24;CJ000304192
8445962736598;A3-006;2522JA00;000003;XL;5;CHAQUETA MUJER COMBINADA ACOLCHADA;BLACK;I26;;1111087088;00000041;K41 - SANTANDER;1;0;000052;D;20251215;14:24;CJ000304192
8445962739124;A6-004;2522JA16;000017;XXL;6;CHAQUETA MOTERA MUJER EFECTO PIELTINTADA;GRANATE / MAROON;I26;;1111087088;00000041;K41 - SANTANDER;1;0;000052;D;20251215;14:24;CJ000304192
8445962729880;A6-005;2521JA59;000130;S;1;Cazadora Acolchada;GRIS PERLA / PEARL G;I26;;1111087088;00000041;K41 - SANTANDER;1;0;000052;D;20251215;14:24;CJ000304192
8445962729675;B1-002/B2-001;2521JA57;000184;XXL;5;CAZADORA ACOLCHADA;TOSTADO / TOASTED BR;I26;;1111087088;00000041;K41 - SANTANDER;1;1;000052;S;20251215;14:24;CJ000304192
8445962727152;C4-001/C5-003;2521JA16;000003;L;3;Cazadora Acolchada;BLACK;I26;;1111087088;00000041;K41 - SANTANDER;1;1;000052;S;20251215;14:24;CJ000304192
8445962728265;D2-002/D3-001;2521JA42;000003;XL;4;Cazadora;BLACK;I26;;1111087088;00000041;K41 - SANTANDER;1;0;000052;D;20251215;14:24;CJ000304192
8445962729774;D3-002/D5-002;2521JA59;000008;M;2;Cazadora Acolchada;AZUL CLARO / LIGHT B;I26;;1111087088;00000041;K41 - SANTANDER;1;1;000052;S;20251215;14:24;CJ000304192
8445962729835;D7-001;2521JA59;000015;M;2;Cazadora Acolchada;ROJO / RED;I26;;1111087088;00000041;K41 - SANTANDER;1;1;000052;S;20251215;14:25;CJ000304192
8445962762634;D9-002/003;2522TR16;000003;L;4;JERSEY MUJER PUNTO JACQUARD ANIMAL;BLACK;I26;;1111087088;00000041;K41 - SANTANDER;2;2;000052;S;20251215;14:25;CJ000304192
8445962729330;E8-001/E9-003;2521JA56;000006;M;2;Cazadora Acolchada;AZUL / BLUE;I26;;1111087088;00000041;K41 - SANTANDER;1;0;000052;D;20251215;14:25;CJ000304192
8445962729347;E8-001/E9-003;2521JA56;000006;L;3;Cazadora Acolchada;AZUL / BLUE;I26;;1111087088;00000041;K41 - SANTANDER;2;0;000052;D;20251215;14:25;CJ000304192
8445962739049;E8-003;2522JA13;000003;XL;5;CHAQUETA BIKER MUJER EFECTO PIEL BORDADA;BLACK;I26;;1111087088;00000041;K41 - SANTANDER;2;0;000052;D;20251215;14:28;CJ000304193
8445962736727;E8-003;2522JA16;000006;L;4;CHAQUETA MOTERA MUJER EFECTO PIELTINTADA;AZUL / BLUE;I26;;1111087088;00000041;K41 - SANTANDER;2;0;000052;D;20251215;14:27;CJ000304193
8445962768544;F3-003/F5-002;2611JA09;000181;3XL;6;CAZADORA EFECTO PIEL CORTA LIGERA BIKER;MARRON OSCURO / DARK;V26;;1111087088;00000041;K41 - SANTANDER;1;0;000052;D;20251215;14:28;CJ000304193
8445962733900;G1-001/003;2521PT36;000301;36;5;Jeans Workwear Regular Fit;AZUL MED / MEDIUM BL;I26;;1111087088;00000041;K41 - SANTANDER;1;1;000052;S;20251215;14:28;CJ000304193
8445962742834;G6-001/G7-003;2522JA54;000003;S;2;CHAQUETA MUJER ACOLCHADA CAPUCHA EXTRAIB;BLACK;I26;;1111087088;00000041;K41 - SANTANDER;2;2;000052;S;20251215;14:28;CJ000304199
8445962733375;H1-001;2521PT17;000302;28;1;Jeans Slim Fit;AZUL OSC / DARK BLUE;I26;;1111087088;00000041;K41 - SANTANDER;2;2;000052;S;20251215;14:29;CJ000304199
8445962733399;H1-001;2521PT17;000302;32;3;Jeans Slim Fit;AZUL OSC / DARK BLUE;I26;;1111087088;00000041;K41 - SANTANDER;3;3;000052;S;20251215;14:29;CJ000304199
8445962736642;H3-003/H5-003;2522JA12;000003;M;3;CHAQUETA MOTERA MUJER EFECTO PIEL;BLACK;I26;;1111087088;00000041;K41 - SANTANDER;1;1;000052;S;20251215;14:29;CJ000304199
8445962820231;01-012;2623HA05;000003;UNI;1;COMPLEMENTO UNISEX GORRA;BLACK;V26;;1111087089;00000042;K42 - MADRID;2;2;000053;S;20251216;09:15;CJ000304450
8445962821456;01-012;2623SU12;000039;L;3;SUDADERA HOMBRE CAPUCHA;NAVY;V26;;1111087089;00000042;K42 - MADRID;1;1;000053;S;20251216;09:15;CJ000304450
8445962822789;01-025;2623PT08;000302;32;3;JEANS DENIM SLIM FIT;AZUL OSC / DARK BLUE;V26;;1111087089;00000042;K42 - MADRID;2;2;000053;S;20251216;09:16;CJ000304450
8445962823145;01-035;2623JA15;000003;M;2;CAZADORA BIKER EFECTO PIEL;BLACK;V26;;1111087089;00000042;K42 - MADRID;1;0;000053;D;20251216;09:16;CJ000304450
